Gene,Chromosome,Arm,Start,End,Gene_Length
MIR4634,5,q,174751734,174751787,53
LINC01951,5,q,174919082,174995513,76431
NIFKP2,5,q,174923090,174923945,855
ARL2BPP6,5,q,175290731,175291252,521
DRD1,5,q,175440036,175444182,4146
SFXN1,5,q,175477062,175529742,52680
RN7SKP148,5,q,175628188,175628462,274
HRH2,5,q,175658030,175710756,52726
RNU6-226P,5,q,175703898,175704004,106
CPLX2,5,q,175796310,175884021,87711
THOC3,5,q,175917873,176034680,116807
THOC3-AS1,5,q,175972606,175987666,15060
OR1X1P,5,q,176006145,176007387,1242
FAM153B,5,q,176058717,176159271,100554
SIMC1,5,q,176238367,176345991,107624
BRCC3P1,5,q,176308063,176309013,950
KIAA1191,5,q,176346062,176361807,15745
ARL10,5,q,176365487,176401865,36378
MIR1271,5,q,176367946,176368031,85
NOP16,5,q,176383946,176388927,4981
HIGD2A,5,q,176388751,176389761,1010
CLTB,5,q,176392501,176416539,24038
FAF2,5,q,176447628,176510074,62446
RNF44,5,q,176526712,176538025,11313
CDHR2,5,q,176542511,176595974,53463
RN7SL684P,5,q,176547433,176547726,293
GPRIN1,5,q,176595802,176610156,14354
SNCB,5,q,176620082,176630556,10474
MIR4281,5,q,176629439,176629500,61
EIF4E1B,5,q,176630618,176646644,16026
TSPAN17,5,q,176647387,176659054,11667
LINC01574,5,q,176743205,176743871,666
UNC5A,5,q,176810519,176880898,70379
HK3,5,q,176880869,176899346,18477
UIMC1,5,q,176905005,177022633,117628
ZNF346,5,q,177022696,177081189,58493
ZNF346-IT1,5,q,177051714,177052963,1249
FGFR4,5,q,177086905,177098144,11239
NSD1,5,q,177131830,177300213,168383
PRMT1P1,5,q,177265580,177266588,1008
RAB24,5,q,177301198,177303744,2546
MXD3,5,q,177301461,177312757,11296
PRELID1,5,q,177303799,177306949,3150
LMAN2,5,q,177315805,177351840,36035
RGS14,5,q,177357924,177372596,14672
SLC34A1,5,q,177379235,177398848,19613
PFN3,5,q,177400109,177400661,552
F12,5,q,177402133,177416583,14450
GRK6,5,q,177403204,177442901,39697
PRR7-AS1,5,q,177438503,177447982,9479
PRR7,5,q,177446445,177456286,9841
DBN1,5,q,177456608,177474401,17793
PDLIM7,5,q,177483394,177497606,14212
PDLIM7-AS1,5,q,177494995,177503647,8652
DOK3,5,q,177501904,177511274,9370
DDX41,5,q,177511577,177516961,5384
FAM193B,5,q,177519789,177554586,34797
FAM193B-DT,5,q,177554824,177555364,540
TMED9,5,q,177592203,177597242,5039
B4GALT7,5,q,177600132,177610330,10198
FAM153A,5,q,177707981,177784435,76454
OR1X5P,5,q,177836434,177837646,1212
SUDS3P1,5,q,177971316,177972281,965
PROP1,5,q,177992235,177996242,4007
FAM153CP,5,q,178006348,178086529,80181
N4BP3,5,q,178113532,178126081,12549
RMND5B,5,q,178130996,178150568,19572
NHP2,5,q,178149463,178153894,4431
GMCL2,5,q,178184505,178187371,2866
HNRNPAB,5,q,178204533,178211163,6630
PHYKPL,5,q,178208471,178232802,24331
COL23A1,5,q,178237476,178590393,352917
RN7SL646P,5,q,178377924,178378220,296
CLK4,5,q,178602664,178630615,27951
RN7SKP70,5,q,178619728,178619998,270
MSANTD5,5,q,178694572,178697761,3189
ZNF354A,5,q,178711512,178730659,19147
AACSP1,5,q,178767204,178797611,30407
ZNF354B,5,q,178859953,178888122,28169
RNU1-39P,5,q,178884715,178884879,164
ZFP2,5,q,178895898,178933212,37314
PIGFP1,5,q,178922064,178922716,652
ZNF454-DT,5,q,178938677,178939223,546
ZNF454,5,q,178941191,178966433,25242
GRM6,5,q,178977587,178996206,18619
ZNF879,5,q,179023804,179035064,11260
ZNF354C,5,q,179060373,179083977,23604
ADAMTS2,5,q,179110853,179345461,234608
RUFY1,5,q,179550554,179610012,59458
PRDX2P3,5,q,179572156,179572741,585
RUFY1-AS1,5,q,179595904,179603741,7837
HNRNPH1,5,q,179614178,179634784,20606
C5orf60,5,q,179641544,179645046,3502
CBY3,5,q,179678560,179681034,2474
CANX,5,q,179678628,179731641,53013
HMGB3P22,5,q,179679032,179694768,15736
MAML1,5,q,179732822,179777283,44461
LTC4S,5,q,179793980,179796647,2667
MGAT4B,5,q,179797597,179806952,9355
MIR1229,5,q,179798278,179798346,68
SQSTM1,5,q,179806398,179838078,31680
MRNIP,5,q,179835133,179862173,27040
RN7SKP150,5,q,179845832,179846152,320
MRNIP-DT,5,q,179859013,179861283,2270
TBC1D9B,5,q,179862066,179907897,45831
RNF130,5,q,179911651,180072113,160462
RPS15AP18,5,q,179933805,179934196,391
MIR340,5,q,180015303,180015397,94
RASGEF1C,5,q,180100795,180209211,108416
MAPK9,5,q,180233143,180292099,58956
GFPT2,5,q,180300698,180353336,52638
RNU6-525P,5,q,180444509,180444612,103
CNOT6,5,q,180494379,180578358,83979
SCGB3A1,5,q,180590105,180591499,1394
FLT4,5,q,180601506,180649624,48118
LINC02222,5,q,180683724,180687502,3778
OR2AI1P,5,q,180692832,180693763,931
RNU1-17P,5,q,180729586,180729737,151
OR2Y1,5,q,180739123,180740058,935
MGAT1,5,q,180784780,180815652,30872
HEIH,5,q,180826871,180831621,4750
LINC00847,5,q,180830326,180839742,9416
ZFP62,5,q,180847611,180861285,13674
BTNL8,5,q,180899077,180950906,51829
RPS29P12,5,q,180945756,180945907,151
ARPP19P1,5,q,180982273,180982611,338
BTNL3,5,q,180988846,181006727,17881
RNU6-1036P,5,q,181007281,181007384,103
BTNL9,5,q,181040225,181061521,21296
MIR8089,5,q,181043403,181043484,81
FOXO1B,5,q,181099140,181100666,1526
OR2V1,5,q,181123122,181131169,8047
OR2V2,5,q,181147586,181159285,11699
LINC01962,5,q,181178821,181191852,13031
TRIM7-AS2,5,q,181191856,181194434,2578
TRIM7,5,q,181193924,181205293,11369
TRIM7-AS1,5,q,181195496,181203103,7607
TRIM41,5,q,181222499,181235808,13309
MIR4638,5,q,181222566,181222633,67
RACK1,5,q,181236897,181248096,11199
SNORD96A,5,q,181241814,181241892,78
SNORD95,5,q,181243312,181243379,67
CTC-338M12.4,5,q,181246466,181272167,25701
TRIM52,5,q,181254077,181261150,7073
TRIM52-AS1,5,q,181261169,181272307,11138
RNU6-705P,5,q,181301967,181302070,103
CICP15,5,q,181329049,181331839,2790
SEPTIN14P5,5,q,181333743,181333911,168
OR4F3,5,q,181367268,181368262,994
WBP1LP4,5,q,181378695,181379038,343
RPL23AP45,5,q,181471963,181472430,467
WBP1LP12,6,p,95124,95454,330
OR4F1P,6,p,105919,106856,937
SEPTIN14P6,6,p,131910,145083,13173
DUSP22,6,p,291630,351355,59725
IRF4,6,p,391739,411443,19704
EXOC2,6,p,485154,693139,207985
HUS1B,6,p,655939,657100,1161
LINC01622,6,p,958323,1101400,143077
FOXQ1,6,p,1312098,1314758,2660
LINC01394,6,p,1321698,1324022,2324
FOXF2-DT,6,p,1383790,1385066,1276
FOXF2,6,p,1389576,1395603,6027
MIR6720,6,p,1390314,1390411,97
RN7SL352P,6,p,1507322,1507598,276
FOXCUT,6,p,1601654,1607354,5700
FOXC1,6,p,1609915,1613897,3982
GMDS,6,p,1623806,2245605,621799
GMDS-DT,6,p,2245718,2525976,280258
HMGN2P28,6,p,2341450,2341711,261
,6,p,2437549,2438249,700
LINC02521,6,p,2617144,2640001,22857
LINC01600,6,p,2621911,2634622,12711
MYLK4,6,p,2663629,2770330,106701
WRNIP1,6,p,2765393,2786952,21559
SERPINB1,6,p,2832332,2841959,9627
SERPINB9P1,6,p,2851230,2881407,30177
MIR4645,6,p,2854031,2854107,76
SERPINB9,6,p,2887270,2903309,16039
SERPINB6,6,p,2948159,2972165,24006
LINC01011,6,p,2987967,2991173,3206
NQO2,6,p,2987987,3019755,31768
NQO2-AS1,6,p,2989335,2999604,10269
HTATSF1P2,6,p,3023142,3023772,630
FAM136BP,6,p,3045384,3045800,416
SERPINB8P1,6,p,3048835,3049211,376
RIPK1,6,p,3063824,3115187,51363
RNA5SP201,6,p,3088686,3088809,123
BPHL,6,p,3118374,3153578,35204
TUBB2A,6,p,3153497,3157544,4047
TUBB2BP1,6,p,3177044,3179764,2720
LINC02525,6,p,3182626,3195784,13158
TUBB2B,6,p,3223324,3231730,8406
PSMG4,6,p,3231403,3303373,71970
SLC22A23,6,p,3268962,3457050,188088
PXDC1,6,p,3722614,3751713,29099
FAM50B,6,p,3849373,3851320,1947
TDGF1P4,6,p,3941282,3941801,519
GLRX3P2,6,p,3978062,3979099,1037
PRPF4B,6,p,4021267,4064983,43716
FAM217A,6,p,4049434,4087344,37910
TEX56P,6,p,4079209,4130951,51742
ECI2,6,p,4115693,4135597,19904
ECI2-DT,6,p,4136072,4157385,21313
RNA5SP202,6,p,4427963,4428081,118
LINC02533,6,p,4488798,4495769,6971
KU-MEL-3,6,p,4610539,4611919,1380
PSMC1P11,6,p,4702463,4703779,1316
CDYL,6,p,4706159,4955551,249392
CDYL-AS1,6,p,4774526,4775408,882
RPP40,6,p,4994717,5004063,9346
LYRM4-AS1,6,p,5003774,5045666,41892
PPP1R3G,6,p,5085341,5089487,4146
LYRM4,6,p,5103629,5260950,157321
MIR3691,6,p,5148233,5148322,89
FARS2,6,p,5261044,5829192,568148
FARS2-AS1,6,p,5451683,5458075,6392
HNRNPA1P37,6,p,5609227,5610195,968
RN7SL221P,6,p,5918564,5918844,280
PKMP5,6,p,5972412,5974012,1600
NRN1,6,p,5997999,6007605,9606
F13A1,6,p,6144084,6321013,176929
MIR7853,6,p,6169304,6169435,131
MIR5683,6,p,6169334,6169409,75
LY86-AS1,6,p,6346465,6622771,276306
SNAPC5P1,6,p,6347081,6347381,300
CNN3P1,6,p,6534697,6535631,934
LY86,6,p,6588108,6654983,66875
BTF3P7,6,p,6794915,6795402,487
RN7SL554P,6,p,6938606,6938897,291
RREB1,6,p,7107597,7251980,144383
SSR1,6,p,7268306,7347446,79140
CAGE1,6,p,7326656,7389742,63086
RIOK1,6,p,7389793,7418037,28244
HNRNPLP1,6,p,7481094,7482594,1500
DSP-AS1,6,p,7540447,7543114,2667
DSP,6,p,7541617,7586714,45097
SNRNP48,6,p,7590198,7611967,21769
BMP6,6,p,7726099,7881728,155629
TXNDC5,6,p,7881517,7910788,29271
BLOC1S5-TXNDC5,6,p,7881522,8064364,182842
PIP5K1P1,6,p,7986537,7988192,1655
BLOC1S5,6,p,8013567,8064396,50829
EEF1E1-BLOC1S5,6,p,8015726,8102530,86804
EEF1E1,6,p,8073360,8102559,29199
SLC35B3,6,p,8411435,8435561,24126
HULC,6,p,8435568,9294133,858565
OFCC1,6,p,9596110,10211608,615498
RPL7AP36,6,p,10118452,10119253,801
RNU6ATAC21P,6,p,10222036,10222161,125
TFAP2A,6,p,10393186,10419659,26473
TFAP2A-AS2,6,p,10404502,10407928,3426
TFAP2A-AS1,6,p,10409340,10416446,7106
LINC00518,6,p,10429255,10435015,5760
MIR5689HG,6,p,10434316,10456781,22465
MIR5689,6,p,10439717,10439794,77
MRPL48P1,6,p,10459906,10460541,635
LINC02522,6,p,10474500,10478502,4002
GCNT2,6,p,10492223,10629368,137145
GCNT2P1,6,p,10633762,10634695,933
C6orf52,6,p,10671418,10694797,23379
PAK1IP1,6,p,10694972,10709782,14810
TMEM14C,6,p,10722915,10731129,8214
TMEM14B-DT,6,p,10743324,10747663,4339
TMEM14B,6,p,10747759,10852753,104994
RNA5SP203,6,p,10752791,10752926,135
MAK,6,p,10762723,10838553,75830
GCM2,6,p,10873223,10882041,8818
SYCP2L,6,p,10886831,10979320,92489
ELOVL2,6,p,10980759,11044305,63546
ELOVL2-AS1,6,p,11043482,11079154,35672
SMIM13,6,p,11093834,11138733,44899
ERVFRD-1,6,p,11102489,11111725,9236
NEDD9,6,p,11183298,11382348,199050
RNU1-64P,6,p,11503509,11503671,162
THAP12P5,6,p,11514192,11516466,2274
TMEM170B,6,p,11537749,11583524,45775
ADTRP,6,p,11712054,11807046,94992
AMD1P4,6,p,11861626,11862970,1344
HIVEP1,6,p,12008762,12164999,156237
EDN1,6,p,12290361,12297194,6833
SUMO2P12,6,p,12319453,12319592,139
RN7SKP293,6,p,12406486,12406781,295
RPL15P3,6,p,12514110,12514724,614
LINC02530,6,p,12582915,12585404,2489
PHACTR1,6,p,12716312,13290446,574134
RNU1-11P,6,p,13214056,13214219,163
TBC1D7,6,p,13266542,13328583,62041
GFOD1,6,p,13357830,13487662,129832
GFOD1-AS1,6,p,13486294,13486852,558
RPS4XP7,6,p,13521266,13522045,779
RN7SKP204,6,p,13547704,13548013,309
SIRT5,6,p,13574227,13615158,40931
NOL7,6,p,13615335,13632739,17404
RANBP9,6,p,13621498,13711835,90337
MCUR1,6,p,13786557,13814568,28011
RNF182,6,p,13924446,13980310,55864
MRPL35P1,6,p,13949095,13949666,571
CD83,6,p,14117256,14136918,19662
RNU7-133P,6,p,14156462,14156523,61
LINC01108,6,p,14280127,14285454,5327
RNU6-793P,6,p,14646535,14646638,103
RPL6P17,6,p,15102946,15104130,1184
RN7SL332P,6,p,15112968,15113221,253
JARID2-DT,6,p,15243923,15245000,1077
JARID2,6,p,15246069,15522042,275973
JARID2-AS1,6,p,15247815,15248634,819
RNU6-522P,6,p,15314920,15315026,106
RNU6-645P,6,p,15324367,15324472,105
DTNBP1,6,p,15522807,15663058,140251
ARPC3P5,6,p,15934782,15935315,533
LINC02543,6,p,15994944,15999797,4853
MDH1P2,6,p,16107622,16108593,971
MYLIP,6,p,16129086,16148248,19162
MIR4639,6,p,16141556,16141624,68
MRPL42P2,6,p,16171606,16172031,425
RNU6-1114P,6,p,16205014,16205120,106
GMPR,6,p,16238587,16295549,56962
ATXN1,6,p,16299112,16761491,462379
ATXN1-AS1,6,p,16761138,16763947,2809
STMND1,6,p,17102050,17131378,29328
RBM24,6,p,17281361,17293871,12510
CAP2,6,p,17393595,17557780,164185
RPL7P26,6,p,17530899,17531652,753
SUMO2P13,6,p,17582034,17582305,271
FAM8A1,6,p,17600302,17611719,11417
NUP153,6,p,17615035,17706925,91890
RNU6-190P,6,p,17619533,17619634,101
NUP153-AS1,6,p,17706094,17707344,1250
RNA5SP204,6,p,17721786,17721903,117
KIF13A,6,p,17759183,17987635,228452
NHLRC1,6,p,18120440,18122677,2237
TPMT,6,p,18128311,18155077,26766
KDM1B,6,p,18155329,18223854,68525
DEK,6,p,18223860,18264548,40688
RNU6-263P,6,p,18306973,18307079,106
DDX18P3,6,p,18363417,18365423,2006
IMPDH1P9,6,p,18366736,18368644,1908
RNF144B,6,p,18387350,18468870,81520
MIR548A1HG,6,p,18522735,18674001,151266
MIR548A1,6,p,18571784,18571880,96
LNC-LBCS,6,p,19323428,19839080,515652
RPL5P20,6,p,19348181,19349076,895
RNA5SP205,6,p,19438283,19438418,135
KRT18P38,6,p,19612755,19614036,1281
UQCRFS1P3,6,p,19638040,19638808,768
RNU6-801P,6,p,19642425,19642529,104
ID4,6,p,19837370,19842197,4827
MBOAT1,6,p,20099684,20212469,112785
E2F3,6,p,20401879,20493714,91835
RN7SL128P,6,p,20421583,20421887,304
E2F3-IT1,6,p,20437821,20440178,2357
RNU6-141P,6,p,20452369,20452473,104
CDKAL1,6,p,20534457,21232404,697947
RPL36AP25,6,p,20722328,20723655,1327
RNU6-150P,6,p,20993474,20993568,94
LINC00581,6,p,21485896,21521414,35518
SOX4,6,p,21593751,21598619,4868
BOLA2P3,6,p,21602128,21602383,255
CASC15,6,p,21664184,22654455,990271
RN7SKP240,6,p,22085544,22085918,374
NBAT1,6,p,22133205,22147193,13988
PRL,6,p,22287244,22302826,15582
HDGFL1,6,p,22569566,22571666,2100
RPL6P18,6,p,23102680,23103546,866
RNU6-1060P,6,p,23124981,23125087,106
SPTLC1P2,6,p,23856698,23856818,120
HNRNPA1P58,6,p,24001824,24002433,609
NRSN1,6,p,24126186,24154900,28714
DCDC2,6,p,24171755,24358059,186304
KAAG1,6,p,24356903,24358285,1382
RNU6-391P,6,p,24365651,24365754,103
MRS2,6,p,24402908,24426194,23286
GPLD1,6,p,24424565,24495205,70640
ALDH5A1,6,p,24494867,24537207,42340
KIAA0319,6,p,24544104,24646191,102087
KRT8P43,6,p,24598012,24599790,1778
TDP2,6,p,24649979,24666930,16951
ACOT13,6,p,24667035,24705065,38030
C6orf62,6,p,24704861,24719998,15137
LINC02828,6,p,24721658,24751960,30302
GMNN,6,p,24774931,24786099,11168
ARMH2,6,p,24797335,24798917,1582
RIPOR2,6,p,24804282,25042170,237888
MTCO2P33,6,p,24947880,24948344,464
PPIAP29,6,p,24976419,24976982,563
ASS1P1,6,p,25023247,25024483,1236
RN7SL334P,6,p,25031009,25031287,278
CMAHP,6,p,25061626,25452263,390637
KATNBL1P5,6,p,25248263,25248779,516
CARMIL1,6,p,25279078,25620530,341452
RNU6-987P,6,p,25383599,25383702,103
SCGN,6,p,25652201,25701783,49582
PRELID1P2,6,p,25678769,25679164,395
H2AC1,6,p,25723397,25726562,3165
H2BC1,6,p,25726777,25727345,568
H2BC2P,6,p,25731782,25732162,380
H2AC2P,6,p,25732497,25732827,330
SLC17A4,6,p,25754699,25781199,26500
SLC17A1,6,p,25782915,25832052,49137
SLC17A3,6,p,25833066,25882286,49220
H2AC3P,6,p,25882026,25882395,369
H2BP5,6,p,25885419,25885751,332
SLC17A2,6,p,25912754,25930691,17937
TRIM38,6,p,25962802,25991231,28429
LINC02980,6,p,25992641,26001775,9134
H3P26,6,p,26016379,26016601,222
H1-1,6,p,26017032,26017787,755
H3C1,6,p,26020451,26020958,507
H4C1,6,p,26021649,26022050,401
H4C2,6,p,26026896,26027283,387
H3C2,6,p,26031589,26032099,510
H2AC4,6,p,26033092,26033618,526
H2BC3,6,p,26043227,26043713,486
H2AC5P,6,p,26043989,26044357,368
H3C3,6,p,26045384,26045869,485
H1-2,6,p,26055740,26056470,730
HFE,6,p,26087281,26098343,11062
H4C3,6,p,26103933,26104337,404
H1-6,6,p,26107412,26108135,723
H2BC4,6,p,26114873,26123926,9053
H2AC6,6,p,26124145,26139116,14971
H1-4,6,p,26156329,26157115,786
H2BC5,6,p,26158122,26171349,13227
LARP1P1,6,p,26164072,26164363,291
H2BC6,6,p,26172059,26184655,12596
H4C4,6,p,26188710,26189112,402
H1-12P,6,p,26195554,26196633,1079
H3C4,6,p,26196784,26197286,502
H2AC7,6,p,26198784,26199293,509
H2BC7,6,p,26199516,26199988,472
H4C5,6,p,26204610,26205021,411
H2BC8,6,p,26216200,26216688,488
H2AC8,6,p,26216921,26217437,516
H3C5P,6,p,26219045,26219240,195
H3C6,6,p,26224199,26227473,3274
H2AC9P,6,p,26233122,26233255,133
H1-3,6,p,26234212,26234987,775
H4C6,6,p,26240393,26240793,400
H4C7,6,p,26246611,26246996,385
H3C7,6,p,26250142,26250635,493
H2BC9,6,p,26251614,26252075,461
H3C8,6,p,26270918,26271413,495
H2AC10P,6,p,26272193,26272540,347
H2BC10,6,p,26272931,26273412,481
H4C8,6,p,26277609,26285638,8029
H3C9P,6,p,26321876,26322292,416
BTN3A2,6,p,26365159,26378320,13161
BTN2A2,6,p,26383096,26394874,11778
BTN3A1,6,p,26402237,26415208,12971
BTN2A3P,6,p,26422119,26431615,9496
BTN3A3,6,p,26440472,26453415,12943
BTN2A1,6,p,26457904,26476621,18717
BTN1A1P1,6,p,26477872,26478533,661
BTN1A1,6,p,26500303,26510425,10122
RNU6-502P,6,p,26519351,26519458,107
HCG11,6,p,26521709,26527404,5695
HMGN4,6,p,26538366,26546933,8567
ABT1,6,p,26596953,26600739,3786
ZNF322,6,p,26634383,26659752,25369
GUSBP2,6,p,26878572,26889198,10626
POM121L6P,6,p,26896952,26898777,1825
LINC00240,6,p,26956932,27059749,102817
VN1R12P,6,p,27033435,27034310,875
VN1R13P,6,p,27060365,27061249,884
VN1R11P,6,p,27083280,27084147,867
RNU2-62P,6,p,27109790,27109980,190
H2BC11,6,p,27125897,27132795,6898
H2AC11,6,p,27133043,27133535,492
H4C9,6,p,27139282,27139678,396
H2BC12,6,p,27146361,27146855,494
H2AC12,6,p,27147106,27147562,456
MIR3143,6,p,27147626,27147688,62
RPL10P2,6,p,27211244,27211913,669
PRSS16,6,p,27247701,27256624,8923
POM121L2,6,p,27285903,27312273,26370
VN1R10P,6,p,27324894,27325768,874
ZNF204P,6,p,27358252,27359854,1602
ZNF391,6,p,27374615,27403908,29293
MCFD2P1,6,p,27407697,27407996,299
ZNF184,6,p,27450743,27473118,22375
HNRNPA1P1,6,p,27523076,27524339,1263
CD83P1,6,p,27560822,27561744,922
RNU6-471P,6,p,27596412,27596517,105
RPL8P1,6,p,27652602,27652825,223
LINC01012,6,p,27694026,27713706,19680
GPR89P,6,p,27737000,27738494,1494
RSL24D1P1,6,p,27780619,27781111,492
H4C10P,6,p,27807075,27807339,264
H2BC13,6,p,27807479,27807929,450
H2AC13,6,p,27808173,27808667,494
H3C10,6,p,27810051,27811300,1249
H2AC14,6,p,27814302,27814777,475
H2BC14,6,p,27815022,27815489,467
H4C11,6,p,27824092,27824480,388
H4C12,6,p,27831174,27831560,386
H2AC15,6,p,27837880,27838375,495
H2BC15,6,p,27838545,27855709,17164
H2BC16P,6,p,27864062,27864401,339
H2AC16,6,p,27865317,27865798,481
H1-5,6,p,27866792,27867588,796
H3C11,6,p,27871845,27872346,501
H4C13,6,p,27873148,27873534,386
H3C12,6,p,27890315,27893106,2791
H2AC17,6,p,27892699,27893185,486
H2BC17,6,p,27893425,27893891,466
RNU7-26P,6,p,27897504,27897566,62
OR2B2,6,p,27911185,27912396,1211
OR2W6P,6,p,27937465,27938403,938
OR2B6,6,p,27957241,27958182,941
RPLP2P1,6,p,27965175,27965514,339
OR2W4P,6,p,27977150,27978075,925
IQCB2P,6,p,28010723,28012355,1632
ZSCAN16-AS1,6,p,28015122,28137313,122191
OR2W2P,6,p,28033947,28034855,908
OR2B7P,6,p,28046434,28047367,933
OR2B8P,6,p,28053228,28054165,937
OR1F12P,6,p,28073316,28074233,917
ZNF165,6,p,28080568,28089563,8995
ZSCAN12P1,6,p,28092427,28092845,418
ZSCAN16,6,p,28107689,28130082,22393
ZNF602P,6,p,28115628,28116551,923
ZKSCAN8,6,p,28141883,28159460,17577
ZKSCAN8P1,6,p,28161769,28169594,7825
ZNF603P,6,p,28176188,28176674,486
ZKSCAN8P2,6,p,28188050,28189432,1382
TOB2P1,6,p,28217643,28218634,991
ZSCAN9,6,p,28224886,28233487,8601
ZKSCAN4,6,p,28241697,28252269,10572
NKAPL,6,p,28259297,28260958,1661
ZSCAN26,6,p,28267058,28278224,11166
PGBD1,6,p,28281572,28302549,20977
SMIM15P2,6,p,28319660,28319852,192
ZSCAN31,6,p,28324693,28356271,31578
ZKSCAN3,6,p,28349947,28369172,19225
ZSCAN12,6,p,28378955,28399747,20792
RNU2-45P,6,p,28410270,28410456,186
ZSCAN23,6,p,28431930,28443502,11572
COX11P1,6,p,28446973,28447807,834
OR2E1P,6,p,28455648,28456141,493
GPX6,6,p,28503296,28528215,24919
GPX5,6,p,28525881,28534955,9074
ZBED9,6,p,28570535,28616212,45677
ZBED9-AS1,6,p,28587378,28591747,4369
LINC00533,6,p,28648286,28649066,780
RPSAP2,6,p,28732017,28732904,887
NOP56P1,6,p,28783633,28784004,371
LINC01623,6,p,28859625,28864630,5005
RPL13P,6,p,28861416,28862047,631
ZNF90P2,6,p,28888832,28889906,1074
HCG14,6,p,28896530,28897322,792
TRIM27,6,p,28903002,28923988,20986
RNU6-930P,6,p,28915645,28915744,99
LINC01556,6,p,28943877,28944537,660
KRT18P1,6,p,28969130,28970460,1330
RN7SL471P,6,p,28977475,28977773,298
HCG15,6,p,28986203,28987484,1281
ZNF311,6,p,28994785,29005316,10531
OR2AD1P,6,p,29026680,29027607,927
OR2W1-AS1,6,p,29036021,29076524,40503
OR2W1,6,p,29044213,29045175,962
OR2P1P,6,p,29071824,29072599,775
SAR1AP1,6,p,29076573,29077168,595
OR2B3,6,p,29086208,29087313,1105
OR2J1,6,p,29099490,29102701,3211
OR2J3,6,p,29108058,29114770,6712
OR2N1P,6,p,29137880,29138816,936
OR2J2,6,p,29170907,29175811,4904
OR2J4P,6,p,29181510,29182445,935
OR2H4P,6,p,29215236,29216179,943
OR2G1P,6,p,29229227,29230157,930
OR2U1P,6,p,29262703,29264079,1376
OR2U2P,6,p,29268462,29269421,959
LINC03003,6,p,29290711,29291653,942
OR14J1,6,p,29301701,29313017,11316
DDX6P1,6,p,29329626,29331061,1435
OR5V1,6,p,29353749,29431967,78218
OR12D3,6,p,29373423,29375291,1868
OR12D2,6,p,29395631,29398008,2377
OR12D1,6,p,29414928,29418905,3977
OR11A1,6,p,29425504,29457071,31567
OR10C1,6,p,29439306,29440977,1671
OR2H1,6,p,29457155,29464328,7173
UBDP1,6,p,29464596,29469806,5210
MAS1LP1,6,p,29475025,29476071,1046
MAS1L,6,p,29486697,29487956,1259
RPS17P1,6,p,29489271,29489676,405
LINC02829,6,p,29497475,29510558,13083
LINC01015,6,p,29528721,29533665,4944
GPR53P,6,p,29537704,29538787,1083
OR2I1P,6,p,29550407,29557773,7366
UBD,6,p,29555515,29559732,4217
GABBR1,6,p,29555629,29633976,78347
OR2H5P,6,p,29573909,29574836,927
TMEM183AP1,6,p,29577459,29577748,289
SNORD32B,6,p,29582249,29582332,83
RPL13AP,6,p,29582508,29583025,517
OR2H2,6,p,29585121,29590500,5379
SUMO2P1,6,p,29636060,29636343,283
MOG,6,p,29657002,29672372,15370
ZFP57,6,p,29672483,29681155,8672
ZDHHC20P1,6,p,29708125,29708547,422
HLA-F,6,p,29722775,29738528,15753
HLA-F-AS1,6,p,29726601,29749049,22448
RPL23AP1,6,p,29726669,29727139,470
MICE,6,p,29741731,29748969,7238
HCG9P5,6,p,29748289,29748513,224
IFITM4P,6,p,29750729,29751148,419
HCG4,6,p,29791753,29792750,997
HLA-V,6,p,29792234,29793136,902
HLA-P,6,p,29800415,29802425,2010
RPL7AP7,6,p,29803195,29803991,796
MICG,6,p,29812565,29812696,131
HLA-G,6,p,29826967,29831125,4158
HCG4P8,6,p,29827385,29828364,979
HCP5B,6,p,29871895,29873783,1888
HLA-H,6,p,29887752,29890482,2730
HLA-T,6,p,29896654,29897786,1132
DDX39BP1,6,p,29906543,29906909,366
MCCD1P1,6,p,29907783,29908645,862
HCG4B,6,p,29925983,29926973,990
HLA-K,6,p,29926459,29929232,2773
HLA-U,6,p,29934101,29934286,185
HLA-A,6,p,29941260,29949572,8312
HLA-W,6,p,29956596,29958570,1974
MICD,6,p,29970801,29972464,1663
HCG9,6,p,29975112,29978410,3298
POLR1HASP,6,p,29976042,30061640,85598
DDX39BP2,6,p,29993209,29993605,396
MCCD1P2,6,p,29994437,29995314,877
HLA-J,6,p,30006606,30009539,2933
ETF1P1,6,p,30031713,30033003,1290
POLR1H,6,p,30058899,30064909,6010
PPP1R11,6,p,30066709,30070333,3624
RNF39,6,p,30070266,30075849,5583
TRIM31,6,p,30102897,30113090,10193
TRIM31-AS1,6,p,30105240,30114724,9484
TRIM40,6,p,30136124,30148735,12611
TRIM10,6,p,30151943,30161211,9268
TRIM15,6,p,30163206,30172693,9487
TRIM26,6,p,30184455,30213427,28972
PAIP1P1,6,p,30186798,30188614,1816
HCG17,6,p,30234039,30326134,92095
TRIM26BP,6,p,30238301,30242279,3978
HLA-L,6,p,30259625,30261703,2078
HCG18,6,p,30286690,30327382,40692
TRIM39,6,p,30326479,30343729,17250
TRIM39-RPP21,6,p,30328907,30346854,17947
RPP21,6,p,30345131,30346884,1753
HLA-N,6,p,30351416,30351550,134
UBQLN1P1,6,p,30363112,30364280,1168
MICC,6,p,30414715,30419319,4604
TMPOP1,6,p,30466452,30467994,1542
SUCLA2P1,6,p,30468882,30470251,1369
